source,id,price,area,rooms,floor,storeys,bathroom_count,new_building,F_Furniture,F_Security,F_Air Conditioner,F_Balcony,F_Heating System,F_Internet,F_Elevator,latitude,longitude,building_type_Monolit,building_type_Other,building_type_Panel,building_type_Stone,condition_Good Condition,condition_Needs Renovation/Repair,condition_New/Excellent Condition,condition_Other,coordinates,SL_opera,SL_malibu,SL_aua,SL_zvartnoc,SL_dalma,SL_yerevan_mall,SL_shumyan_cemetery,SL_nork_cemetery,SL_central_cemetery,SL_davtashen_cemetery,SL_zeytun_cemetery,SL_yerablur,SL_avan_cemetery,SL_baghramyan_subway,SL_shengavit_subway,SL_barekamutyun_subway,SL_yeritasardakan_subway,SL_zoravar_subway,SL_sasunci_subway,SL_gorcarain_subway,SL_gergin_subway,SL_charbakh_subway,SL_avan,SL_massiv,L_payment_terminal,L_pharmacy,L_atm,L_car_wash,L_waste_disposal,L_parking,L_bank,L_clinic,L_fuel,L_school,L_place_of_worship,L_music_school,L_university,L_kindergarten,L_bus_station,L_hospital,L_prison,L_stripclub
bars,4-3-1430,130000.0,60.5,2.0,3.0,13.0,1.0,1,0,0,0,0,0,0,0,44.50384769146143,40.19855807840442,0,1,0,0,0,1,0,0,"(40.19855807840442, 44.50384769146143)",1691,1758,683,10176,2527,4807,4044,3702,6088,3558,3914,6092,5928,867,6157,770,1933,3120,4895,6407,5661,7017,7056,6413,6,5,5,4,4,2,2,1,1,1,0,0,0,0,0,0,0,0
bars,4-3-1430.1,215000.0,96.1,3.0,4.0,13.0,2.0,1,0,0,0,0,0,0,0,44.50384769146143,40.19855807840442,0,1,0,0,0,1,0,0,"(40.19855807840442, 44.50384769146143)",1691,1758,683,10176,2527,4807,4044,3702,6088,3558,3914,6092,5928,867,6157,770,1933,3120,4895,6407,5661,7017,7056,6413,6,5,5,4,4,2,2,1,1,1,0,0,0,0,0,0,0,0
bars,1-N-432,560000.0,156.4,4.0,9.0,17.0,2.0,0,1,1,0,1,1,0,1,44.583870697678144,40.21673211791397,0,1,0,0,1,0,0,0,"(40.21673211791397, 44.583870697678144)",6767,7453,7265,17145,9120,9832,11036,4122,8266,9098,3233,12767,1256,7951,11537,7858,6406,7918,9497,11098,11337,12795,257,10027,0,7,11,2,0,2,3,0,1,1,0,0,0,0,0,0,0,0
bars,1-N-429,410000.0,75.0,3.0,3.0,12.0,2.0,0,0,1,1,1,1,0,1,44.50449735,40.1832187,0,1,0,0,1,0,0,0,"(40.1832187, 44.50449735)",951,297,1024,9481,1437,3111,4420,3747,4641,5016,4807,5067,6461,1805,4544,1724,1348,1484,3189,4712,4105,5525,7724,4735,4,1,7,3,1,6,4,3,1,2,1,1,1,1,0,0,0,0
bars,1-A-118,420000.0,138.0,4.0,3.0,5.0,2.0,0,0,0,0,1,1,0,1,44.51228432718437,40.19590302536037,0,1,0,0,1,0,0,0,"(40.19590302536037, 44.51228432718437)",1126,1473,768,10663,2754,4613,4767,2950,5501,4259,3417,6424,5310,1578,6098,1469,1256,2744,4612,6205,5662,7076,6491,6024,0,0,1,2,0,4,1,0,0,0,0,0,1,0,0,0,0,0
bars,1-3-2096,339000.0,100.0,3.0,2.0,6.0,1.0,0,1,0,1,0,1,0,1,44.519048808509375,40.177015330930764,0,1,0,0,1,0,0,0,"(40.177015330930764, 44.519048808509375)",1054,1155,2115,10441,2609,2874,5827,2939,3367,6249,4565,5893,5802,3108,4549,3011,1025,869,2689,4356,4289,5753,7123,3905,3,7,10,2,5,10,5,1,0,2,0,1,0,0,1,0,0,0
bars,1-A-123,500000.0,107.0,3.0,5.0,7.0,2.0,0,1,1,1,1,1,0,1,44.51228432718437,40.19590302536037,0,1,0,0,1,0,0,0,"(40.19590302536037, 44.51228432718437)",1126,1473,768,10663,2754,4613,4767,2950,5501,4259,3417,6424,5310,1578,6098,1469,1256,2744,4612,6205,5662,7076,6491,6024,0,0,1,2,0,4,1,0,0,0,0,0,1,0,0,0,0,0
bars,1-N-403,520000.0,121.0,3.0,6.0,21.0,1.0,0,1,0,1,0,1,0,1,44.583870697678144,40.21673211791397,0,1,0,0,1,0,0,0,"(40.21673211791397, 44.583870697678144)",6767,7453,7265,17145,9120,9832,11036,4122,8266,9098,3233,12767,1256,7951,11537,7858,6406,7918,9497,11098,11337,12795,257,10027,0,7,11,2,0,2,3,0,1,1,0,0,0,0,0,0,0,0
bars,1-3-1721,225000.0000000001,101.0,3.0,6.0,5.0,1.0,0,1,0,1,1,1,0,0,44.51808492499669,40.187096641397815,0,1,0,0,1,0,0,0,"(40.187096641397815, 44.51808492499669)",282,967,1300,10714,2669,3828,5394,2519,4406,5313,3694,6281,5240,2352,5431,2243,181,1835,3730,5377,5081,6537,6516,5025,9,6,21,2,6,2,7,0,0,4,1,0,2,1,0,2,0,0
bars,1-N-433,985000.0,206.0,4.0,20.0,23.0,3.0,0,0,0,1,1,1,0,1,44.519048808509375,40.177015330930764,0,1,0,0,1,0,0,0,"(40.177015330930764, 44.519048808509375)",1054,1155,2115,10441,2609,2874,5827,2939,3367,6249,4565,5893,5802,3108,4549,3011,1025,869,2689,4356,4289,5753,7123,3905,3,7,10,2,5,10,5,1,0,2,0,1,0,0,1,0,0,0
